objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation,vimeoid,CONTENTdm number
tributefence702,https://vimeo.com/97774362,,Tribute Fence Preservation Project Story,video/mpeg,"Photographed and edited by Tribute Fence Preservation Project Co-director, Dottie Morris, the film is a collection of photographs taken beginning September 10, 2013 as volunteers removed each item from the Tribute Fence at Fire Station 7 in Prescott, Arizona. Additional video is from KPNX AZCentral Channel 12, Phoenix news reports on the Tribute Fence Preservation Project. ""Asia Rain"" and ""Fire Dance"" composed by Joe Scott and performed by Acoustic Eidolon. ""Simple Gifts"" performed by Acoustic Eidolon.","Morris, Dottie",,2014-06-10,yes,vimeo video,Forest fires--Arizona--Yarnell; Wildfire fighters; Granite Mountain Interagency Hotshots; Memorials,"Prescott, AZ",,,,Prescott Public Library,,https://azmemory.azlibrary.gov/digital/collection/pgmh,,192_168_240_66_2014-6-10_151350613-20894175533.url,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","Re-use of this image is permitted, but please give credit to the â€œPrescott Public Library, City of Prescott, Arizona - Tribute Fence Preservation Projectâ€ and any photographer or creator identified for the item. To inquire about permissions to use this image, please contact us at ask.librarian@prescott-az.gov.",Image;MovingImage,eng,http://cdm17220.contentdm.oclc.org/cdm/ref/collection/pgmh/id/702,97774362,702
tributefence2027,2028.jpg,,Fire Department New York T-Shirt,image/jpg,"Navy blue t-shirt with large ""FDNY"" across the back in stars and stripes. ""ENGINE 74"" reads above in red letters outlined in white and ""NYC"" reads below in red letters outlined in white. White letters are below which read ""Est. 1901.""",Unknown,Prescott Fire Department Station 7,2014-10-03,yes,single-page; t-shirts,Wildfire fighters; Forest fires--Arizona--Yarnell; Granite Mountain Interagency Hotshots; Clothing and dress,Prescott Fire Department Station 7,34.548779,-112.465069,,Prescott Public Library,,https://azmemory.azlibrary.gov/digital/collection/pgmh,2013.15.42,DSCN1523A.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","Re-use of this image is permitted, but please give credit to the â€œPrescott Public Library, City of Prescott, Arizona - Tribute Fence Preservation Projectâ€ and any photographer or creator identified for the item. To inquire about permissions to use this image, please contact us at ask.librarian@prescott-az.gov.",Image;StillImage,eng,http://cdm17220.contentdm.oclc.org/cdm/ref/collection/pgmh/id/2027,,2027
tributefence55,56.pdf,,Letter of Condolence from New Zealand Fire Service,application/pdf,"Letter of condolence from Paul Baxter, Chief Executive and National Commander, New Zealand Fire Service, Wellington.","Baxter, Paul",Prescott Fire Department Station 7,2014-05-14,yes,single-page; letters,Forest fires--Arizona--Yarnell; Wildfire fighters; Granite Mountain Interagency Hotshots; Letters,Prescott Fire Department Station 7,34.548779,-112.465069,,Prescott Public Library,,https://azmemory.azlibrary.gov/digital/collection/pgmh,,pdf20140506_144031.NEWZEALAND.pdf,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","Re-use of this image is permitted, but please give credit to the â€œPrescott Public Library, City of Prescott, Arizona - Tribute Fence Preservation Projectâ€ and any photographer or creator identified for the item. To inquire about permissions to use this image, please contact us at ask.librarian@prescott-az.gov.",Text,eng,http://cdm17220.contentdm.oclc.org/cdm/ref/collection/pgmh/id/55,,55
tributefence821,822.pdf,,"Letter of Condolence from Ann Kirkpatrick, U.S. Representative, Arizona District One",application/pdf,"Letter of condolence from Ann Kirkpatrick, Congresswoman from District One in Arizona, Washington, D.C. A hand written note to Fire Chief Fraijo reads â€œThank you for your leadership. My heart goes out to all our firefighters.â€","Kirkpatrick, Ann",Prescott Fire Department Station 7,2014-07-28,yes,single-page; letters,Forest fires--Arizona--Yarnell; Wildfire fighters; Granite Mountain Interagency Hotshots; Letters,Prescott Fire Department Station 7,34.548779,-112.465069,,Prescott Public Library,,https://azmemory.azlibrary.gov/digital/collection/pgmh,,pdf20140512_102508.Congresswoman.AZ.pdf,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","Re-use of this image is permitted, but please give credit to the â€œPrescott Public Library, City of Prescott, Arizona - Tribute Fence Preservation Projectâ€ and any photographer or creator identified for the item. To inquire about permissions to use this image, please contact us at ask.librarian@prescott-az.gov.",Text,eng,http://cdm17220.contentdm.oclc.org/cdm/ref/collection/pgmh/id/821,,821
tributefence2442,2443.pdf,,Condolence Card from Unknown Child,application/pdf,"Hand-drawn condolence card from an unknown child which is a picture of the fire in the trees, a fire truck with sand and cactus.",Unknown,Prescott Fire Department Station 7,2014-10-10,yes,single-page; cards,Wildfire fighters; Forest fires--Arizona--Yarnell; Granite Mountain Interagency Hotshots; Letters,Prescott Fire Department Station 7,34.548779,-112.465069,,Prescott Public Library,,https://azmemory.azlibrary.gov/digital/collection/pgmh,,pdf20140818_101904.pdf,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","Re-use of this image is permitted, but please give credit to the â€œPrescott Public Library, City of Prescott, Arizona - Tribute Fence Preservation Projectâ€ and any photographer or creator identified for the item. To inquire about permissions to use this image, please contact us at ask.librarian@prescott-az.gov.",Image;StillImage,eng,http://cdm17220.contentdm.oclc.org/cdm/ref/collection/pgmh/id/2442,,2442
tributefence2930,2925.pdf,,Condolence Card from the Newport News Fire Department,application/pdf,"Condolence card from the Newport News Fire Department, Newport News, Virginia.",Newport News Fire Department,Prescott Fire Department Station 7,2014-10-20,yes,single-page; cards,Wildfire fighters; Forest fires--Arizona--Yarnell; Granite Mountain Interagency Hotshots; Letters,Prescott Fire Department Station 7,34.548779,-112.465069,,Prescott Public Library,,https://azmemory.azlibrary.gov/digital/collection/pgmh,,pdf20140829_115453.pdf,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","Re-use of this image is permitted, but please give credit to the â€œPrescott Public Library, City of Prescott, Arizona - Tribute Fence Preservation Projectâ€ and any photographer or creator identified for the item. To inquire about permissions to use this image, please contact us at ask.librarian@prescott-az.gov.",Image;StillImage;Text,eng,http://cdm17220.contentdm.oclc.org/cdm/ref/collection/pgmh/id/2930,,2930
tributefence380,374.jpg,,In Honor of Those Fallen Banner,image/jpg,"4 ft x 6 ft black banner with ""In Honor of Those Fallen"" printed in gold letters across the top. The left side contains a large ""Prescott - AZ Fire & Rescue"" logo with a red banner horizontally crossing the logo. Gold letters across that banner read ""LAST ALARM 6-30-13"" with ""#1 PRESCOTT STRONG"" below. The right side of the banner contains the names and respective ages of the fallen Hotshots. Hand written messages and signatures appear across the entire banner.",Unknown,Prescott Fire Department Station 7,2014-06-02,yes,single-page; banner,Forest fires--Arizona--Yarnell; Wildfire fighters; Granite Mountain Interagency Hotshots; Banners,Prescott Fire Department Station 7,34.548779,-112.465069,,Prescott Public Library,,https://azmemory.azlibrary.gov/digital/collection/pgmh,2013.33.03,DSC_0806.JPG (Banner_Honor Fallen).JPG,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","Re-use of this image is permitted, but please give credit to the â€œPrescott Public Library, City of Prescott, Arizona - Tribute Fence Preservation Projectâ€ and any photographer or creator identified for the item. To inquire about permissions to use this image, please contact us at ask.librarian@prescott-az.gov.",Image;StillImage;Text,eng,http://cdm17220.contentdm.oclc.org/cdm/ref/collection/pgmh/id/380,,380
tributefence376,370.jpg,,Toy Fire Helmet with Letter,image/jpg,"Child's toy fireman's helmet with decal in front that reads ""FIRE CHIEF."" An attached letter on yellow legal paper reads ""Dear Granite Mountain Hotshots, Less than 2 weeks ago we watched in utter disbelief as the Doce fire spread so very rapidly. Understanding if the winds shifted we'd have to evacuate immediately. My wife and I grabbed photos, documents and just a very few treasured items. Among them was my son's childhood fireman's hat. I watched in amazement as you and your brethren fought that ferocious fire for days. And for what seemed to be against all odds. You beat it back and saved our communities. In Yarnell the winds did shift and now you are gone. So many of us will never get a change to thank you in this life. So my wife and I wish to honor your lives and ask that your families and brethren accept this child's hat along with our prayers and tears as a humble token of our most heartfelt condolences. As a community we will strive to honor your memories and sacrafice (sacrifice). We will dedicate ourselves to your families and ask for God's grace upon Grace on their lives. God Bless.""",Unknown,Prescott Fire Department Station 7,2014-06-02,yes,single-page; toy fire helmet,Forest fires--Arizona--Yarnell; Wildfire fighters; Granite Mountain Interagency Hotshots; Toys,Prescott Fire Department Station 7,34.548779,-112.465069,,Prescott Public Library,,https://azmemory.azlibrary.gov/digital/collection/pgmh,2013.01.192,DSCN5212.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","Re-use of this image is permitted, but please give credit to the â€œPrescott Public Library, City of Prescott, Arizona - Tribute Fence Preservation Projectâ€ and any photographer or creator identified for the item. To inquire about permissions to use this image, please contact us at ask.librarian@prescott-az.gov.",Image;StillImage;Text,eng,http://cdm17220.contentdm.oclc.org/cdm/ref/collection/pgmh/id/376,,376
tributefence1998,1999.jpg,,Forest Service Buggy,image/jpg,"Replica of a Forest Service Fire Crew truck ""buggy"" left by a former Prescott Hotshot, Jon Word, who had worked with two of the Granite Mountain Hotshots in previous seasons.",Unknown,Prescott Fire Department Station 7,2014-10-03,yes,single-page; toy,Wildfire fighters; Forest fires--Arizona--Yarnell; Granite Mountain Interagency Hotshots; Toys,Prescott Fire Department Station 7,34.548779,-112.465069,,Prescott Public Library,,https://azmemory.azlibrary.gov/digital/collection/pgmh,2013.07.,Forest Service Buggy.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","Re-use of this image is permitted, but please give credit to the â€œPrescott Public Library, City of Prescott, Arizona - Tribute Fence Preservation Projectâ€ and any photographer or creator identified for the item. To inquire about permissions to use this image, please contact us at ask.librarian@prescott-az.gov.",Image;StillImage,eng,http://cdm17220.contentdm.oclc.org/cdm/ref/collection/pgmh/id/1998,,1998
tributefence2639,2592.pdf,,"Letter from Superintendent Eric Marsh dated March 27, 2012",application/pdf,"Letter dated March 27, 2012 on Granite Mountain Hot Shots stationery addressed ""To Whom It May Concern"" from ""Eric Marsh - Superintendent Granite Mountain IHC."" This letter is part of the personal effects of Clayton Whitted, a fallen Hotshot.","Whitted, Kristy",Prescott Fire Department Station 7,2014-10-13,yes,single-page; letter,Wildfire fighters; Forest fires--Arizona--Yarnell; Granite Mountain Interagency Hotshots; Letters,Prescott Fire Department Station 7,34.548779,-112.465069,,Prescott Public Library,,https://azmemory.azlibrary.gov/digital/collection/pgmh,,pdf20141008_181953_Eric_Marsh_GMIHC_overview.pdf,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","Re-use of this image is permitted, but please give credit to the â€œPrescott Public Library, City of Prescott, Arizona - Tribute Fence Preservation Projectâ€ and any photographer or creator identified for the item. To inquire about permissions to use this image, please contact us at ask.librarian@prescott-az.gov.",Text,eng,http://cdm17220.contentdm.oclc.org/cdm/ref/collection/pgmh/id/2639,,2639
